Y;X;osm_id;code;fclass;name;ref;oneway;maxspeed;layer;bridge;tunnel;xAtZero;yAtZero;xAtOne;yAtOne;vertex_pos;vertex_ind;vertex_par;vertex_p_1;distance;angle;xkord;ykord
60.1752752;24.801901;4632363;5152;cycleway;;;B;0;0;F;T;24.8018695;60.1753328;24.8012257;60.1750966;0;0;0;0;0;196.0908163484;24.801901;60.1752752
60.1752128;24.801883;4632363;5152;cycleway;;;B;0;0;F;T;24.8018695;60.1753328;24.8012257;60.1750966;-1;1;0;1;6.4944283818e-05;196.0908163484;24.801883;60.1752128
60.1752128;24.801883;4632363;5152;cycleway;;;B;0;0;F;T;24.8018695;60.1753328;24.8012257;60.1750966;0;0;0;0;0;246.7507321827;24.801883;60.1752128
60.1751835;24.8018148;4632363;5152;cycleway;;;B;0;0;F;T;24.8018695;60.1753328;24.8012257;60.1750966;-1;1;0;1;7.4227555529e-05;246.7507321827;24.8018148;60.1751835
60.1751835;24.8018148;4632363;5152;cycleway;;;B;0;0;F;T;24.8018695;60.1753328;24.8012257;60.1750966;0;0;0;0;0;261.6086352742;24.8018148;60.1751835
60.1793245;24.7996241;4760223;5141;service;Opinkuja;;B;0;0;F;F;24.7996241;60.1793245;24.798786;60.1800131;0;0;0;0;0;313.9813001017;24.7996241;60.1793245
60.1793825;24.799564;4760223;5141;service;Opinkuja;;B;0;0;F;F;24.7996241;60.1793245;24.798786;60.1800131;-1;1;0;1;8.3522511937e-05;313.9813001017;24.799564;60.1793825
60.1793825;24.799564;4760223;5141;service;Opinkuja;;B;0;0;F;F;24.7996241;60.1793245;24.798786;60.1800131;0;0;0;0;0;326.01982974;24.799564;60.1793825
60.1797368;24.7993252;4760223;5141;service;Opinkuja;;B;0;0;F;F;24.7996241;60.1793245;24.798786;60.1800131;-1;1;0;1;0.0004272633;326.01982974;24.7993252;60.1797368
60.1797368;24.7993252;4760223;5141;service;Opinkuja;;B;0;0;F;F;24.7996241;60.1793245;24.798786;60.1800131;0;0;0;0;0;308.1639557896;24.7993252;60.1797368
60.1797959;24.79925;4760223;5141;service;Opinkuja;;B;0;0;F;F;24.7996241;60.1793245;24.798786;60.1800131;-1;1;0;1;9.5644393457e-05;308.1639557896;24.79925;60.1797959
60.1797959;24.79925;4760223;5141;service;Opinkuja;;B;0;0;F;F;24.7996241;60.1793245;24.798786;60.1800131;0;0;0;0;0;305.1788192386;24.79925;60.1797959
60.1799841;24.798983;4760223;5141;service;Opinkuja;;B;0;0;F;F;24.7996241;60.1793245;24.798786;60.1800131;-1;1;0;1;0.0003266623;305.1788192386;24.798983;60.1799841
60.1799841;24.798983;4760223;5141;service;Opinkuja;;B;0;0;F;F;24.7996241;60.1793245;24.798786;60.1800131;0;0;0;0;0;287.2345144597;24.798983;60.1799841
60.1800002;24.7989311;4760223;5141;service;Opinkuja;;B;0;0;F;F;24.7996241;60.1793245;24.798786;60.1800131;-1;1;0;1;5.4339856459e-05;287.2345144597;24.7989311;60.1800002
60.1800002;24.7989311;4760223;5141;service;Opinkuja;;B;0;0;F;F;24.7996241;60.1793245;24.798786;60.1800131;0;0;0;0;0;275.0804784688;24.7989311;60.1800002
60.1800131;24.798786;4760223;5141;service;Opinkuja;;B;0;0;F;F;24.7996241;60.1793245;24.798786;60.1800131;-1;1;0;1;0.0001456723;275.0804784688;24.798786;60.1800131
60.1775237;24.8027812;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;0;0;0;0;0;81.9285422311;24.8027812;60.1775237
60.1775431;24.802918;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;-1;1;0;1;0.0001381687;81.9285422311;24.802918;60.1775431
60.1775431;24.802918;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;0;0;0;0;0;81.9448780617;24.802918;60.1775431
60.1775537;24.8029929;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;-1;1;0;1;7.5646348227e-05;81.9448780617;24.8029929;60.1775537
60.1775537;24.8029929;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;0;0;0;0;0;81.9466721895;24.8029929;60.1775537
60.1775744;24.8031392;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;-1;1;0;1;0.0001477572;81.9466721895;24.8031392;60.1775744
60.1775744;24.8031392;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;0;0;0;0;0;81.9462580335;24.8031392;60.1775744
60.1775967;24.8032968;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;-1;1;0;1;0.0001591699;81.9462580335;24.8032968;60.1775967
60.1775967;24.8032968;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;0;0;0;0;0;81.9670165265;24.8032968;60.1775967
60.177648;24.8036603;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;-1;1;0;1;0.0003671021;81.9670165265;24.8036603;60.177648
60.177648;24.8036603;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;0;0;0;0;0;81.9032188259;24.8036603;60.177648
60.1776617;24.8037566;4760232;5141;service;Kulttuuriaukio;;F;0;0;F;F;24.8027812;60.1775237;24.8026896;60.1776785;-1;1;0;1;9.7269625269e-05;81.9032188259;24.8037566;60.1776617
